"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 13, 2013","118.02","118.02","118.02","118.02","-","-1.13%"
"Mar 12, 2013","119.37","119.37","119.37","119.37","-","3.47%"
"Mar 11, 2013","115.37","115.37","115.37","115.37","-","3.20%"
"Mar 08, 2013","111.79","111.79","111.79","111.79","-","1.35%"
"Mar 07, 2013","110.30","110.30","110.30","110.30","-","0.93%"
"Mar 06, 2013","109.28","109.28","109.28","109.28","-","1.10%"
"Mar 05, 2013","108.09","108.09","108.09","108.09","-","0.85%"
"Mar 01, 2013","107.18","107.18","107.18","107.18","-","0.25%"
"Feb 28, 2013","106.91","106.91","106.91","106.91","-","0.34%"
"Feb 27, 2013","106.55","106.55","106.55","106.55","-","1.55%"
"Feb 25, 2013","104.92","104.92","104.92","104.92","-","-0.33%"
"Feb 22, 2013","105.27","105.27","105.27","105.27","-","0.13%"
"Feb 20, 2013","105.13","105.13","105.13","105.13","-","-0.88%"
"Feb 19, 2013","106.06","106.06","106.06","106.06","-","-0.62%"
"Feb 18, 2013","106.72","106.72","106.72","106.72","-","-0.80%"
"Feb 15, 2013","107.58","107.58","107.58","107.58","-","-0.85%"
"Feb 14, 2013","108.50","108.50","108.50","108.50","-","-0.91%"
"Feb 13, 2013","109.50","109.50","109.50","109.50","-","0.25%"
"Feb 12, 2013","109.23","109.23","109.23","109.23","-","0.80%"
"Feb 11, 2013","108.36","108.36","108.36","108.36","-","0.88%"
"Feb 08, 2013","107.42","107.42","107.42","107.42","-","1.12%"
"Feb 07, 2013","106.23","106.23","106.23","106.23","-","0.80%"
"Feb 06, 2013","105.39","105.39","105.39","105.39","-","0.77%"
"Feb 05, 2013","104.58","104.58","104.58","104.58","-","0.27%"
"Feb 04, 2013","104.30","104.30","104.30","104.30","-","0.20%"
"Feb 01, 2013","104.09","104.09","104.09","104.09","-","0.57%"
"Jan 31, 2013","103.50","103.50","103.50","103.50","-","0.69%"
"Jan 30, 2013","102.79","102.79","102.79","102.79","-","0.15%"
"Jan 29, 2013","102.64","102.64","102.64","102.64","-","-0.30%"
"Jan 28, 2013","102.95","102.95","102.95","102.95","-","-0.08%"
"Jan 25, 2013","103.03","103.03","103.03","103.03","-","0.57%"
"Jan 24, 2013","102.45","102.45","102.45","102.45","-","-0.91%"
"Jan 23, 2013","103.39","103.39","103.39","103.39","-","-0.68%"
