"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 12, 2005","4,012.42","4,012.42","4,012.42","4,012.42","-","-0.57%"
"Aug 11, 2005","4,035.46","4,035.46","4,035.46","4,035.46","-","0.17%"
"Aug 10, 2005","4,028.45","4,028.45","4,028.45","4,028.45","-","-0.72%"
"Aug 09, 2005","4,057.52","4,057.52","4,057.52","4,057.52","-","-0.06%"
"Aug 08, 2005","4,059.94","4,059.94","4,059.94","4,059.94","-","0.25%"
"Aug 05, 2005","4,049.95","4,049.95","4,049.95","4,049.95","-","0.39%"
"Aug 04, 2005","4,034.22","4,034.22","4,034.22","4,034.22","-","0.09%"
"Aug 03, 2005","4,030.68","4,030.68","4,030.68","4,030.68","-","0.35%"
"Aug 02, 2005","4,016.74","4,016.74","4,016.74","4,016.74","-","0.77%"
"Aug 01, 2005","3,986.10","3,986.10","3,986.10","3,986.10","-","0.10%"
"Jul 29, 2005","3,982.00","3,982.00","3,982.00","3,982.00","-","-0.19%"
"Jul 28, 2005","3,989.74","3,989.74","3,989.74","3,989.74","-","0.64%"
"Jul 27, 2005","3,964.50","3,964.50","3,964.50","3,964.50","-","0.27%"
"Jul 26, 2005","3,953.92","3,953.92","3,953.92","3,953.92","-","-0.27%"
"Jul 25, 2005","3,964.78","3,964.78","3,964.78","3,964.78","-","-0.56%"
"Jul 22, 2005","3,987.04","3,987.04","3,987.04","3,987.04","-","0.04%"
"Jul 21, 2005","3,985.44","3,985.44","3,985.44","3,985.44","-","-2.04%"
"Jul 20, 2005","4,068.23","4,068.23","4,068.23","4,068.23","-","-0.12%"
"Jul 19, 2005","4,073.09","4,073.09","4,073.09","4,073.09","-","-1.39%"
"Jul 18, 2005","4,130.65","4,130.65","4,130.65","4,130.65","-","-0.29%"
"Jul 15, 2005","4,142.80","4,142.80","4,142.80","4,142.80","-","-2.44%"
"Jul 14, 2005","4,246.36","4,246.36","4,246.36","4,246.36","-","-0.80%"
"Jul 13, 2005","4,280.80","4,280.80","4,280.80","4,280.80","-","0.65%"
"Jul 12, 2005","4,253.32","4,253.32","4,253.32","4,253.32","-","1.05%"
"Jul 11, 2005","4,208.99","4,208.99","4,208.99","4,208.99","-","0.13%"
"Jul 08, 2005","4,203.51","4,203.51","4,203.51","4,203.51","-","1.31%"
"Jul 07, 2005","4,149.22","4,149.22","4,149.22","4,149.22","-","0.78%"
"Jul 06, 2005","4,117.22","4,117.22","4,117.22","4,117.22","-","1.12%"
"Jul 05, 2005","4,071.66","4,071.66","4,071.66","4,071.66","-","0.80%"
"Jul 04, 2005","4,039.17","4,039.17","4,039.17","4,039.17","-","0.82%"
"Jul 01, 2005","4,006.27","4,006.27","4,006.27","4,006.27","-","0.86%"
"Jun 30, 2005","3,972.15","3,972.15","3,972.15","3,972.15","-","0.89%"
"Jun 29, 2005","3,937.03","3,937.03","3,937.03","3,937.03","-","0.66%"
"Jun 28, 2005","3,911.20","3,911.20","3,911.20","3,911.20","-","0.75%"
"Jun 27, 2005","3,881.94","3,881.94","3,881.94","3,881.94","-","0.55%"
"Jun 24, 2005","3,860.83","3,860.83","3,860.83","3,860.83","-","0.07%"
"Jun 23, 2005","3,858.11","3,858.11","3,858.11","3,858.11","-","0.69%"
"Jun 22, 2005","3,831.69","3,831.69","3,831.69","3,831.69","-","0.07%"
"Jun 21, 2005","3,828.90","3,828.90","3,828.90","3,828.90","-","1.05%"
"Jun 20, 2005","3,789.13","3,789.13","3,789.13","3,789.13","-","0.24%"
"Jun 17, 2005","3,780.08","3,780.08","3,780.08","3,780.08","-","0.54%"
"Jun 16, 2005","3,759.72","3,759.72","3,759.72","3,759.72","-","0.23%"
"Jun 15, 2005","3,751.18","3,751.18","3,751.18","3,751.18","-","0.18%"
"Jun 14, 2005","3,744.57","3,744.57","3,744.57","3,744.57","-","0.35%"
"Jun 13, 2005","3,731.45","3,731.45","3,731.45","3,731.45","-","0.39%"
"Jun 10, 2005","3,716.90","3,716.90","3,716.90","3,716.90","-","1.61%"
"Jun 09, 2005","3,657.94","3,657.94","3,657.94","3,657.94","-","1.27%"
"Jun 08, 2005","3,612.02","3,612.02","3,612.02","3,612.02","-","1.90%"
"Jun 07, 2005","3,544.68","3,544.68","3,544.68","3,544.68","-","0.36%"
"Jun 06, 2005","3,532.14","3,532.14","3,532.14","3,532.14","-","0.74%"
"Jun 03, 2005","3,506.05","3,506.05","3,506.05","3,506.05","-","0.17%"
"Jun 02, 2005","3,500.04","3,500.04","3,500.04","3,500.04","-","-0.15%"
"May 31, 2005","3,505.39","3,505.39","3,505.39","3,505.39","-","0.36%"
"May 30, 2005","3,492.96","3,492.96","3,492.96","3,492.96","-","0.01%"
"May 27, 2005","3,492.58","3,492.58","3,492.58","3,492.58","-","0.94%"
"May 26, 2005","3,460.17","3,460.17","3,460.17","3,460.17","-","1.23%"
"May 25, 2005","3,418.16","3,418.16","3,418.16","3,418.16","-","1.02%"
"May 24, 2005","3,383.76","3,383.76","3,383.76","3,383.76","-","1.11%"
"May 23, 2005","3,346.64","3,346.64","3,346.64","3,346.64","-","-0.20%"
"May 20, 2005","3,353.51","3,353.51","3,353.51","3,353.51","-","0.92%"
"May 19, 2005","3,322.99","3,322.99","3,322.99","3,322.99","-","0.07%"
"May 18, 2005","3,320.71","3,320.71","3,320.71","3,320.71","-","1.61%"
"May 17, 2005","3,267.96","3,267.96","3,267.96","3,267.96","-","-0.73%"
"May 16, 2005","3,291.93","3,291.93","3,291.93","3,291.93","-","-0.02%"
"May 13, 2005","3,292.75","3,292.75","3,292.75","3,292.75","-","0.66%"
"May 12, 2005","3,271.01","3,271.01","3,271.01","3,271.01","-","0.14%"
